0073 (18/07/2009) 03 07 39 42 48 57 75 - TREZE/PB
0074 (25/07/2009) 03 20 25 31 40 51 60 - AMÉRICA/RJ
0075 (01/08/2009) 06 12 22 50 52 59 72 - RIVER/PI
0076 (08/08/2009) 25 34 46 51 52 64 76 - TREZE/PB
0077 (15/08/2009) 19 20 23 44 49 57 64 - BANGU/RJ
0078 (22/08/2009) 22 38 39 44 48 52 56 - VITÓRIA/BA
0079 (29/08/2009) 02 08 37 39 46 52 80 - NACIONAL/AM
0080 (05/09/2009) 08 15 20 42 43 44 48 - CRB/AL
0081 (12/09/2009) 06 07 12 15 66 68 80 - AMÉRICA/RJ
0082 (19/09/2009) 30 42 43 46 57 63 64 - FIGUEIRENSE/SC
0083 (26/09/2009) 11 25 28 48 52 62 78 - RORAIMA/RR
0084 (03/10/2009) 03 04 07 10 27 34 73 - SAMPAIO CORRÊA/MA
0085 (10/10/2009) 09 17 21 36 50 64 67 - AMÉRICA/MG
0086 (17/10/2009) 19 23 32 41 55 71 80 - JUVENTUS/SP
0087 (24/10/2009) 11 21 25 34 37 55 72 - VASCO DA GAMA/RJ
0088 (31/10/2009) 09 18 19 40 60 65 75 - PALMEIRAS/SP
0089 (07/11/2009) 04 08 10 41 62 72 73 - RIVER/PI
0090 (14/11/2009) 44 65 68 69 71 73 76 - SÃO PAULO/SP
0091 (21/11/2009) 05 12 17 25 52 57 76 - ATLÉTICO/GO
0092 (28/11/2009) 01 04 09 39 40 56 62 - YPIRANGA/AP
0093 (05/12/2009) 04 08 17 30 46 47 60 - MOTO CLUBE/MA
0094 (12/12/2009) 07 12 34 46 52 56 79 - IPATINGA/MG
0095 (19/12/2009) 13 30 34 36 67 73 74 - AMÉRICA/RN
0096 (26/12/2009) 04 09 20 32 36 51 80 - PORTUGUESA DESPORTOS/SP
0097 (09/01/2010) 04 15 38 40 45 60 66 - AMÉRICA/RJ
0098 (16/01/2010) 05 28 35 40 41 50 71 - GOIÁS/GO
0099 (23/01/2010) 05 12 28 52 60 63 66 - LONDRINA/PR
0100 (30/01/2010) 14 36 38 58 70 72 74 - PAYSANDU/PA
0101 (06/02/2010) 01 46 59 60 63 76 80 - CEARÁ/CE
0102 (13/02/2010) 26 28 34 45 48 49 77 - GAMA/DF
0103 (20/02/2010) 03 07 16 21 42 71 80 - RORAIMA/RR
0104 (27/02/2010) 04 58 61 62 66 69 80 - UNIÃO SÃO JOÃO/SP
0105 (06/03/2010) 02 03 10 17 51 52 75 - MARÍLIA/SP
0106 (13/03/2010) 11 17 18 19 59 73 75 - INTER LIMEIRA/SP
0107 (20/03/2010) 06 09 13 38 46 58 80 - BAHIA/BA
0108 (27/03/2010) 05 20 26 34 38 78 79 - CORINTHIANS/SP
0109 (03/04/2010) 08 10 12 15 51 66 68 - SANTOS/SP
0110 (10/04/2010) 03 14 24 41 42 59 63 - UNIÃO SÃO JOÃO/SP
0111 (17/04/2010) 01 02 08 13 31 67 69 - AMÉRICA/RJ
0112 (24/04/2010) 05 07 39 50 60 67 70 - RIVER/PI
0113 (30/04/2010) 04 17 24 39 69 75 77 - UNIÃO SÃO JOÃO/SP
0114 (08/05/2010) 17 18 44 60 68 77 79 - PALMEIRAS/SP
0115 (15/05/2010) 03 20 35 49 54 55 72 - RIO BRANCO/AC
0116 (22/05/2010) 04 12 24 34 54 62 65 - XV NOV. PIRACICABA/SP
0117 (29/05/2010) 10 33 40 51 61 76 79 - CRUZEIRO/MG
0118 (05/06/2010) 29 30 42 59 60 66 68 - INTERNACIONAL/RS
0119 (12/06/2010) 11 19 28 41 44 56 72 - SÃO PAULO/SP
0120 (19/06/2010) 01 07 14 44 46 51 73 - BRASILIENSE/DF
0121 (26/06/2010) 08 31 35 43 47 67 76 - MARÍLIA/SP
0122 (03/07/2010) 48 49 52 64 67 69 70 - RIVER/PI
0123 (10/07/2010) 03 17 37 54 56 60 61 - BRAGANTINO/SP
0124 (17/07/2010) 01 16 20 43 46 70 71 - BARUERI/SP
0125 (21/07/2010) 05 19 25 41 56 69 72 - BARUERI/SP
0126 (24/07/2010) 16 17 23 30 37 64 72 - CORITIBA/PR
0127 (28/07/2010) 01 09 19 35 48 78 79 - INTERNACIONAL/RS
0128 (31/07/2010) 08 16 20 27 38 70 78 - INTER LIMEIRA/SP
0129 (04/08/2010) 08 10 22 28 55 69 70 - FORTALEZA/CE
0130 (07/08/2010) 12 30 45 51 57 68 76 - ATLÉTICO/GO
0131 (11/08/2010) 04 11 24 39 40 41 42 - UNIÃO BARBARENSE/SP
0132 (14/08/2010) 19 26 36 39 66 71 78 - INTERNACIONAL/RS
0133 (18/08/2010) 04 14 20 26 52 62 66 - FLUMINENSE/RJ
0134 (21/08/2010) 02 04 49 51 60 75 78 - NACIONAL/AM
0135 (25/08/2010) 08 09 23 49 55 58 62 - JUVENTUS/SP
0136 (28/08/2010) 03 11 13 22 36 41 52 - OPERARIO/MS
0137 (01/09/2010) 15 26 32 50 58 70 71 - MIXTO/MT
0138 (04/09/2010) 17 18 33 34 40 60 71 - TREZE/PB
0139 (08/09/2010) 01 11 27 31 35 44 61 - RIO BRANCO/AC
0140 (11/09/2010) 25 26 27 36 47 66 74 - BANGU/RJ
0141 (15/09/2010) 21 26 47 55 62 63 72 - CRUZEIRO/MG
0142 (18/09/2010) 40 55 61 65 76 79 80 - SANTO ANDRÉ/SP
0143 (22/09/2010) 01 04 05 26 60 61 62 - ITUANO/SP
0144 (25/09/2010) 12 31 32 61 70 75 80 - SÃO RAIMUNDO/AM
0145 (29/09/2010) 02 35 55 65 67 74 75 - ATLÉTICO/GO
0146 (02/10/2010) 15 27 43 46 53 56 79 - SANTO ANDRÉ/SP
0147 (06/10/2010) 12 49 61 69 70 76 78 - SERGIPE/SE
0148 (09/10/2010) 27 30 39 49 70 73 78 - RIO BRANCO/ES
0149 (13/10/2010) 13 15 29 46 61 62 63 - SÃO RAIMUNDO/AM
0150 (16/10/2010) 08 10 17 40 61 63 79 - RORAIMA/RR
0151 (20/10/2010) 01 41 45 47 62 65 79 - JUVENTUDE/RS
0152 (23/10/2010) 02 08 16 20 27 51 65 - BOTAFOGO/RJ
0153 (27/10/2010) 03 10 15 20 46 57 80 - SÃO  CAETANO/SP
0154 (30/10/2010) 01 06 14 19 22 36 52 - PALMAS/TO
0155 (03/11/2010) 21 23 28 48 55 67 71 - CSA/AL
0156 (06/11/2010) 19 27 49 50 69 70 77 - SANTO ANDRÉ/SP
0157 (10/11/2010) 26 29 54 63 67 73 78 - AMERICANO/RJ
0158 (13/11/2010) 09 19 26 28 30 35 53 - RORAIMA/RR
0159 (17/11/2010) 02 12 28 29 56 70 76 - BRASILIENSE/DF
0160 (20/11/2010) 07 16 34 35 45 55 71 - FLAMENGO/RJ
0161 (24/11/2010) 47 52 55 56 59 70 80 - FIGUEIRENSE/SC
0162 (27/11/2010) 10 23 34 44 47 50 72 - PALMEIRAS/SP
0163 (01/12/2010) 22 23 27 51 62 77 80 - SANTA CRUZ/PE
0164 (04/12/2010) 07 10 31 33 36 49 63 - CSA/AL
0165 (08/12/2010) 13 31 39 45 62 67 80 - PONTE PRETA/SP
0166 (11/12/2010) 04 48 51 53 71 72 75 - REMO/PA
0167 (15/12/2010) 08 10 24 29 30 40 59 - PARANÁ/PR
0168 (18/12/2010) 04 15 20 31 47 74 79 - TREZE/PB
0169 (22/12/2010) 12 23 24 39 51 63 66 - SAMPAIO CORRÊA/MA
0170 (24/12/2010) 11 20 27 51 55 56 64 - LONDRINA/PR
0171 (29/12/2010) 09 23 26 35 55 64 71 - SANTA CRUZ/PE
0172 (31/12/2010) 12 13 26 32 47 57 74 - SANTO ANDRÉ/SP
0173 (05/01/2011) 06 10 34 59 68 70 74 - TREZE/PB
0174 (08/01/2011) 01 03 04 14 24 35 48 - PAYSANDU/PA
0175 (12/01/2011) 05 13 30 32 59 66 67 - XV NOV. PIRACICABA/SP
0176 (15/01/2011) 25 34 40 50 52 66 80 - PALMAS/TO
0177 (19/01/2011) 12 25 30 34 59 62 80 - RORAIMA/RR
0178 (22/01/2011) 11 27 39 50 71 72 80 - IPATINGA/MG
0179 (26/01/2011) 01 38 51 60 63 68 69 - MIXTO/MT
0180 (29/01/2011) 16 32 35 36 56 73 74 - BOTAFOGO/RJ
0181 (02/02/2011) 06 15 32 33 54 63 80 - RIVER/PI
0182 (05/02/2011) 02 03 30 37 51 57 61 - UNIÃO SÃO JOÃO/SP
0183 (09/02/2011) 16 24 32 36 39 51 71 - MOTO CLUBE/MA
0184 (12/02/2011) 25 36 48 55 59 62 74 - NACIONAL/AM
0185 (16/02/2011) 07 26 41 45 50 59 62 - PAULISTA/SP
0186 (19/02/2011) 13 29 30 31 34 55 75 - AMÉRICA/RJ
0187 (23/02/2011) 07 11 30 61 76 77 80 - AMÉRICA/RJ
0188 (26/02/2011) 27 28 29 73 77 78 79 - SÃO PAULO/SP
0189 (02/03/2011) 12 17 20 27 31 35 53 - A B C/RN
0190 (05/03/2011) 04 23 65 68 70 71 73 - FIGUEIRENSE/SC
0191 (09/03/2011) 24 27 33 34 41 42 79 - SANTO ANDRÉ/SP
0192 (12/03/2011) 07 14 27 28 38 67 71 - MOTO CLUBE/MA
0193 (16/03/2011) 13 14 27 31 45 68 75 - SÃO CAETANO/SP
0194 (19/03/2011) 08 24 33 45 61 63 72 - MARÍLIA/SP
0195 (23/03/2011) 08 13 21 40 52 53 62 - NACIONAL/AM
0196 (26/03/2011) 05 11 24 41 67 70 78 - GRÊMIO/RS
0197 (30/03/2011) 04 11 16 24 55 66 79 - JUVENTUDE/RS
0198 (02/04/2011) 08 30 37 45 54 64 69 - MOTO CLUBE/MA
0199 (06/04/2011) 16 17 46 47 56 57 60 - REMO/PA
0200 (09/04/2011) 09 23 27 31 36 75 79 - BRASILIENSE/DF
0201 (13/04/2011) 03 27 30 37 40 50 78 - ATLÉTICO/MG
0202 (16/04/2011) 25 41 60 65 67 73 76 - AMERICANO/RJ
0203 (20/04/2011) 08 19 61 65 67 73 77 - AMÉRICA/RJ
0204 (23/04/2011) 21 25 36 44 45 67 78 - VASCO DA GAMA/RJ
0205 (27/04/2011) 18 21 29 33 35 41 66 - GOIÁS/GO
0206 (30/04/2011) 02 11 30 36 66 71 77 - BRAGANTINO/SP
0207 (04/05/2011) 19 39 55 57 59 61 67 - P.  DESPORTOS/SP
0208 (07/05/2011) 04 07 11 12 13 15 70 - BOTAFOGO/PB
0209 (11/05/2011) 10 33 47 54 67 73 77 - JOINVILLE/SC
0210 (14/05/2011) 17 26 38 51 52 60 61 - VILLA NOVA/MG
0211 (18/05/2011) 05 23 26 32 36 39 56 - FLAMENGO/RJ
0212 (21/05/2011) 13 19 22 35 43 49 51 - NACIONAL/AM
0213 (25/05/2011) 06 12 14 23 28 35 52 - UNIÃO SÃO JOÃO/SP
0214 (28/05/2011) 06 12 17 56 66 70 71 - SANTO ANDRÉ/SP
0215 (01/06/2011) 01 04 17 42 48 50 78 - GAMA/DF
0216 (04/06/2011) 04 09 15 41 55 57 65 - RIO BRANCO/ES
0217 (08/06/2011) 04 13 21 31 48 57 72 - CORINTHIANS/SP
0218 (11/06/2011) 02 20 28 32 48 60 74 - JUVENTUDE/RS
0219 (15/06/2011) 19 35 42 45 54 60 65 - CRICIÚMA/SC
0220 (18/06/2011) 05 09 23 25 28 32 65 - SERGIPE/SE
0221 (22/06/2011) 06 34 38 44 59 74 79 - TREZE/PB
0222 (25/06/2011) 02 03 07 11 56 61 65 - INTER LIMEIRA/SP
0223 (29/06/2011) 05 10 18 55 56 59 72 - NACIONAL/AM
0224 (02/07/2011) 14 16 17 20 21 28 74 - MOTO CLUBE/MA
0225 (06/07/2011) 02 26 30 37 45 47 61 - BOTAFOGO/RJ
0226 (09/07/2011) 16 19 29 39 45 67 71 - RORAIMA/RR
0227 (13/07/2011) 03 27 34 44 62 63 75 - AMÉRICA/RJ
0228 (16/07/2011) 13 25 34 39 55 59 76 - AMÉRICA/RJ
0229 (20/07/2011) 10 11 24 26 36 47 51 - S. PAULO/SP
0230 (23/07/2011) 04 19 25 35 54 63 69 - RIVER/PI
0231 (27/07/2011) 17 18 30 41 50 55 62 - YPIRANGA/AP
0232 (30/07/2011) 21 28 60 63 64 65 75 - XV PIRACICABA/SP
0233 (03/08/2011) 11 16 32 41 56 68 78 - CEARÁ/CE
0234 (06/08/2011) 02 08 22 23 30 35 62 - CRICIÚMA/SC
0235 (10/08/2011) 11 36 43 48 60 66 72 - SAMPAIO CORRÊA/MA
